Date;Time;PM1;PM2.5;PM10
2021-02-18;02:00:02;38;72;78
2021-02-18;02:10:02;42;76;88
2021-02-18;02:20:02;37;70;82
2021-02-18;02:30:01;33;66;77
2021-02-18;02:40:01;35;63;70
2021-02-18;02:50:01;38;62;71
2021-02-18;03:00:01;36;63;75
2021-02-18;03:10:01;32;58;64
2021-02-18;03:20:02;32;60;65
2021-02-18;03:30:02;34;60;66
2021-02-18;03:40:01;30;51;62
2021-02-18;03:50:02;31;58;68
2021-02-18;04:00:02;33;56;65
2021-02-18;04:10:01;27;49;53
2021-02-18;04:20:02;26;44;50
2021-02-18;04:30:02;23;42;47
2021-02-18;04:40:01;27;44;53
2021-02-18;04:50:02;21;40;49
2021-02-18;05:00:02;24;44;56
2021-02-18;05:10:01;24;45;52
2021-02-18;05:20:02;23;40;45
2021-02-18;05:30:02;26;42;45
2021-02-18;05:40:01;24;46;52
2021-02-18;05:50:02;26;48;56
2021-02-18;06:00:02;25;42;45
2021-02-18;06:10:02;26;45;49
2021-02-18;06:20:01;37;69;77
2021-02-18;06:30:01;40;64;74
2021-02-18;06:40:02;37;67;71
2021-02-18;06:50:02;33;57;64
2021-02-18;07:00:02;39;67;77
2021-02-18;07:10:01;32;57;67
2021-02-18;07:20:02;34;57;68
2021-02-18;07:30:02;34;59;67
2021-02-18;07:40:02;35;65;71
2021-02-18;07:50:01;36;64;71
2021-02-18;08:00:01;25;47;55
2021-02-18;08:10:02;32;56;65
2021-02-18;08:20:02;30;53;61
2021-02-18;08:30:01;31;51;61
2021-02-18;08:40:01;31;58;62
2021-02-18;08:50:02;35;58;63
2021-02-18;09:00:01;34;56;64
2021-02-18;09:10:02;33;61;67
2021-02-18;09:20:02;36;63;70
2021-02-18;09:30:02;35;62;66
2021-02-18;09:40:02;37;65;76
2021-02-18;09:50:02;35;62;72
2021-02-18;10:00:02;34;60;66
2021-02-18;10:10:02;36;62;73
2021-02-18;10:20:02;36;60;70
2021-02-18;10:30:01;35;59;66
2021-02-18;10:40:02;35;62;73
2021-02-18;10:50:02;36;67;72
2021-02-18;11:00:02;39;77;89
2021-02-18;11:10:01;47;80;90
2021-02-18;11:20:02;43;73;79
2021-02-18;11:30:01;44;77;87
2021-02-18;11:40:02;44;71;83
2021-02-18;11:50:02;44;74;82
2021-02-18;12:00:01;45;77;85
2021-02-18;12:10:02;37;71;79
2021-02-18;12:20:02;47;85;98
2021-02-18;12:30:01;45;81;94
2021-02-18;12:40:02;42;76;91
2021-02-18;12:50:02;46;79;88
2021-02-18;13:00:02;56;94;109
2021-02-18;13:10:01;55;90;108
2021-02-18;13:20:02;52;92;103
2021-02-18;13:30:01;49;92;105
2021-02-18;13:40:02;46;81;94
2021-02-18;13:50:01;50;84;95
2021-02-18;14:00:01;52;88;102
2021-02-18;14:10:01;49;85;93
2021-02-18;14:20:01;54;92;100
2021-02-18;14:30:02;52;89;99
2021-02-18;14:40:01;53;93;104
2021-02-18;14:50:02;54;91;109
2021-02-18;15:00:02;47;81;91
2021-02-18;15:10:01;51;90;104
2021-02-18;15:20:02;48;80;90
2021-02-18;15:30:02;48;82;96
2021-02-18;15:40:02;54;88;98
2021-02-18;15:50:01;47;85;98
2021-02-18;16:00:01;48;81;91
2021-02-18;16:10:01;44;79;89
2021-02-18;16:20:02;42;69;73
2021-02-18;16:30:02;44;74;81
2021-02-18;16:40:02;41;75;83
2021-02-18;16:50:01;42;83;98
2021-02-18;17:00:02;48;83;88
2021-02-18;17:10:01;44;82;99
2021-02-18;17:20:02;52;99;113
2021-02-18;17:30:02;53;95;111
2021-02-18;17:40:01;49;87;98
2021-02-18;17:50:01;60;104;128
2021-02-18;18:00:02;59;106;112
2021-02-18;18:10:02;57;107;120
2021-02-18;18:20:01;53;94;104
2021-02-18;18:30:02;55;109;132
2021-02-18;18:40:01;62;109;118
2021-02-18;18:50:02;62;115;141
2021-02-18;19:00:02;57;108;127
2021-02-18;19:10:02;56;101;119
2021-02-18;19:20:02;48;80;94
2021-02-18;19:30:02;45;85;106
2021-02-18;19:40:01;49;89;102
